From,To,Length,Capacity,Cost
Lisboa,Ponta_Delgada,1500,1,975000
Lisboa,Funchal,1050,1,682500
Ponta_Delgada,Funchal,1050,1,682500
Portimao,Funchal,1010,1,656500
Braga,Braganca,209,1,135850
Santarem,Portalegre,144,1,93600
Beja,Faro,140,1,91000
Portimao,Sines,139,1,90350
Santarem,Coimbra,136,1,88400
Braganca,Vila_Real,118,1,76700
Aveiro,Leiria,113,1,73450
Vila_Real,Viseu,97,1,63050
Guarda,Castelo_Branco,94,1,61100
Lisboa,Caldas_Rainha,88,1,57200
Braga,S_Joao_Madeira,85,1,55250
S_Joao_Madeira,Coimbra,84,1,54600
Viseu,Coimbra,84,1,54600
Elvas,Evora,83,1,53950
Portalegre,Castelo_Branco,80,1,52000
Santarem,Lisboa,76,1,49400
Beja,Evora,76,1,49400
Viseu,Guarda,73,1,47450
Viana_do_Castelo,Porto,70,1,45500
Leiria,Santarem,70,1,45500
Alcacer_do_Sal,Evora,68,1,44200
Porto,Aveiro,67,1,43550
Alcacer_do_Sal,Sines,65,1,42250
Portimao,Faro,62,1,40300
Coimbra,Aveiro,58,1,37700
Elvas,Portalegre,56,1,36400
Leiria,Caldas_Rainha,54,1,35100
Braga,Porto,53,1,34450
Alcacer_do_Sal,Setubal,50,1,32500
Viana_do_Castelo,Braga,47,1,30550
Lisboa,Setubal,44,1,28600
Porto,S_Joao_Madeira,32,1,20800


